Against,Beneficiary,Game_ID,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
Pittsburgh,Philadelphia,834,10/7/2012,Tony Corrente,9,106,4,30,3,61,2,15,2,2,0,0,1,1,5,2012
Green Bay,Indianapolis,835,10/7/2012,Walt Anderson,9,89,3,19,6,70,0,0,3,1,2,0,2,1,5,2012
Indianapolis,Green Bay,835,10/7/2012,Walt Anderson,9,100,3,15,6,85,0,0,4,3,1,0,3,1,5,2012
Cleveland,N.Y. Giants,836,10/7/2012,Clete Blakeman,10,91,6,41,3,45,1,5,3,2,0,1,1,0,5,2012
N.Y. Giants,Cleveland,836,10/7/2012,Clete Blakeman,3,25,2,20,1,5,0,0,1,1,0,0,2,0,5,2012
Minnesota,Tennessee,837,10/7/2012,Jeff Triplette,5,60,1,10,3,45,1,5,0,0,0,0,0,0,5,2012
Tennessee,Minnesota,837,10/7/2012,Jeff Triplette,10,75,6,35,3,35,1,5,6,5,1,0,1,0,5,2012
Cincinnati,Miami,838,10/7/2012,Walt Coleman,5,46,3,25,2,21,0,0,1,1,0,0,1,0,5,2012
Miami,Cincinnati,838,10/7/2012,Walt Coleman,2,10,1,5,1,5,0,0,1,1,0,0,1,0,5,2012
Kansas City,Baltimore,839,10/7/2012,Pete Morelli,8,60,5,35,1,5,2,20,3,3,0,0,2,0,5,2012
Baltimore,Kansas City,839,10/7/2012,Pete Morelli,5,33,3,20,1,12,1,1,2,2,0,0,1,0,5,2012
Seattle,Carolina,840,10/7/2012,Terry McAulay,7,65,5,45,2,20,0,0,1,1,0,0,1,0,5,2012
Carolina,Seattle,840,10/7/2012,Terry McAulay,3,25,2,15,0,0,1,10,1,1,0,0,0,0,5,2012
Chicago,Jacksonville,841,10/7/2012,Ron Winter,12,80,6,40,3,15,3,25,7,4,3,0,0,0,5,2012
Jacksonville,Chicago,841,10/7/2012,Ron Winter,6,49,4,28,1,15,1,6,2,2,0,0,0,0,5,2012
Denver,New England,842,10/7/2012,Gene Steratore,4,21,0,0,4,21,0,0,3,0,3,0,2,0,5,2012
New England,Denver,842,10/7/2012,Gene Steratore,6,59,4,30,1,19,1,10,2,2,0,0,0,0,5,2012
San Francisco,Buffalo,843,10/7/2012,Jerome Boger,7,53,7,53,0,0,0,0,3,3,0,0,0,1,5,2012
Buffalo,San Francisco,843,10/7/2012,Jerome Boger,5,30,0,0,3,15,2,15,4,0,3,1,0,1,5,2012
New Orleans,San Diego,844,10/7/2012,Carl Cheffers,10,99,5,30,4,60,1,9,4,4,0,0,0,0,5,2012
San Diego,New Orleans,844,10/7/2012,Carl Cheffers,7,56,4,30,2,20,1,6,3,2,1,0,2,0,5,2012
N.Y. Jets,Houston,845,10/8/2012,Scott Green,5,25,3,15,1,5,1,5,4,3,1,0,0,0,5,2012
Houston,N.Y. Jets,845,10/8/2012,Scott Green,7,50,3,20,0,0,4,30,2,1,0,1,2,0,5,2012
Pittsburgh,Tennessee,846,10/11/2012,Ed Hochuli,4,50,0,0,2,30,2,20,0,0,0,0,1,0,6,2012
Tennessee,Pittsburgh,846,10/11/2012,Ed Hochuli,5,45,3,20,2,25,0,0,2,2,0,0,3,0,6,2012
Oakland,Atlanta,847,10/14/2012,Terry McAulay,12,110,6,55,3,20,3,35,2,1,1,0,1,0,6,2012
Atlanta,Oakland,847,10/14/2012,Terry McAulay,2,25,1,10,1,15,0,0,0,0,0,0,2,0,6,2012
Kansas City,Tampa Bay,848,10/14/2012,Walt Coleman,7,55,1,4,3,30,3,21,1,0,0,1,1,0,6,2012
Tampa Bay,Kansas City,848,10/14/2012,Walt Coleman,6,33,2,7,1,5,3,21,3,1,1,1,1,0,6,2012
N.Y. Jets,Indianapolis,849,10/14/2012,Bill Leavy,8,110,1,5,7,105,0,0,1,1,0,0,1,0,6,2012
Indianapolis,N.Y. Jets,849,10/14/2012,Bill Leavy,3,27,2,22,1,5,0,0,1,0,1,0,0,0,6,2012
Cleveland,Cincinnati,850,10/14/2012,Pete Morelli,5,35,2,15,1,5,2,15,2,1,1,0,1,0,6,2012
Cincinnati,Cleveland,850,10/14/2012,Pete Morelli,7,50,5,35,1,5,1,10,4,3,1,0,1,0,6,2012
Philadelphia,Detroit,851,10/14/2012,Bill Vinovich,9,60,2,15,5,25,2,20,4,1,2,1,3,0,6,2012
Detroit,Philadelphia,851,10/14/2012,Bill Vinovich,16,132,8,60,8,72,0,0,10,5,5,0,1,0,6,2012
St. Louis,Miami,852,10/14/2012,Gene Steratore,12,94,5,40,4,36,3,18,4,2,2,0,0,0,6,2012
Miami,St. Louis,852,10/14/2012,Gene Steratore,5,40,4,30,0,0,1,10,1,1,0,0,1,0,6,2012
Dallas,Baltimore,853,10/14/2012,Mike Carey,13,82,10,75,3,7,0,0,8,6,2,0,2,0,6,2012
Baltimore,Dallas,853,10/14/2012,Mike Carey,10,76,4,20,5,48,1,8,6,4,2,0,0,0,6,2012
Arizona,Buffalo,854,10/14/2012,Al Riveron,7,67,5,36,1,21,1,10,2,2,0,0,1,0,6,2012
Buffalo,Arizona,854,10/14/2012,Al Riveron,5,39,1,14,1,5,3,20,2,0,0,2,0,0,6,2012
New England,Seattle,855,10/14/2012,Clete Blakeman,6,80,3,20,3,60,0,0,3,2,1,0,4,0,6,2012
Seattle,New England,855,10/14/2012,Clete Blakeman,4,35,2,15,1,15,1,5,2,1,0,1,1,0,6,2012
N.Y. Giants,San Francisco,856,10/14/2012,John Parry,2,20,0,0,0,0,2,20,0,0,0,0,0,0,6,2012
San Francisco,N.Y. Giants,856,10/14/2012,John Parry,6,35,4,25,1,5,1,5,5,3,1,1,1,0,6,2012
Washington,Minnesota,857,10/14/2012,Tony Corrente,7,66,4,31,2,30,1,5,1,1,0,0,0,0,6,2012
Minnesota,Washington,857,10/14/2012,Tony Corrente,5,29,2,10,3,19,0,0,2,2,0,0,0,0,6,2012
Houston,Green Bay,858,10/14/2012,Jerome Boger,7,69,2,9,2,30,3,30,3,2,0,1,2,0,6,2012
Green Bay,Houston,858,10/14/2012,Jerome Boger,4,51,2,20,2,31,0,0,1,0,1,0,1,0,6,2012
Denver,San Diego,859,10/15/2012,Jeff Triplette,10,81,4,36,5,35,1,10,3,1,2,0,0,0,6,2012
San Diego,Denver,859,10/15/2012,Jeff Triplette,9,64,5,34,3,15,1,15,6,3,3,0,1,0,6,2012
San Francisco,Seattle,860,10/18/2012,Walt Anderson,5,40,2,15,2,20,1,5,3,1,1,1,0,1,7,2012
Seattle,San Francisco,860,10/18/2012,Walt Anderson,3,20,2,15,1,5,0,0,2,1,1,0,1,1,7,2012
Washington,N.Y. Giants,861,10/21/2012,Ed Hochuli,7,55,3,25,3,25,1,5,4,2,2,0,0,0,7,2012
N.Y. Giants,Washington,861,10/21/2012,Ed Hochuli,3,30,2,15,1,15,0,0,1,1,0,0,0,0,7,2012
Minnesota,Arizona,862,10/21/2012,Terry McAulay,7,35,3,14,1,5,3,16,3,2,1,0,1,0,7,2012
Arizona,Minnesota,862,10/21/2012,Terry McAulay,9,82,4,25,3,37,2,20,3,3,0,0,1,0,7,2012
Dallas,Carolina,863,10/21/2012,Ron Winter,6,43,2,15,2,8,2,20,1,1,0,0,0,0,7,2012
Carolina,Dallas,863,10/21/2012,Ron Winter,9,71,4,25,4,41,1,5,4,3,1,0,1,0,7,2012
New Orleans,Tampa Bay,864,10/21/2012,Jerome Boger,7,55,2,15,3,25,2,15,2,1,0,1,2,0,7,2012
Tampa Bay,New Orleans,864,10/21/2012,Jerome Boger,7,55,5,35,0,0,2,20,2,2,0,0,3,0,7,2012
Green Bay,St. Louis,865,10/21/2012,Bill Vinovich,3,30,2,15,1,15,0,0,1,1,0,0,2,1,7,2012
St. Louis,Green Bay,865,10/21/2012,Bill Vinovich,6,30,3,15,3,15,0,0,4,3,1,0,2,1,7,2012
Houston,Baltimore,866,10/21/2012,Tony Corrente,5,60,3,30,2,30,0,0,0,0,0,0,0,0,7,2012
Baltimore,Houston,866,10/21/2012,Tony Corrente,5,56,0,0,3,31,2,25,0,0,0,0,1,0,7,2012
Indianapolis,Cleveland,867,10/21/2012,Carl Cheffers,7,50,4,20,2,20,1,10,5,4,1,0,0,0,7,2012
Cleveland,Indianapolis,867,10/21/2012,Carl Cheffers,9,75,3,20,3,25,3,30,3,2,1,0,0,0,7,2012
Buffalo,Tennessee,868,10/21/2012,Mike Carey,8,65,4,35,2,10,2,20,3,2,0,1,0,0,7,2012
Tennessee,Buffalo,868,10/21/2012,Mike Carey,3,25,1,5,2,20,0,0,2,1,1,0,0,0,7,2012
New England,N.Y. Jets,869,10/21/2012,Jeff Triplette,6,40,3,25,3,15,0,0,1,1,0,0,2,0,7,2012
N.Y. Jets,New England,869,10/21/2012,Jeff Triplette,8,60,3,19,3,16,2,25,3,2,1,0,1,0,7,2012
Jacksonville,Oakland,870,10/21/2012,Scott Green,6,92,2,20,4,72,0,0,1,0,1,0,0,0,7,2012
Oakland,Jacksonville,870,10/21/2012,Scott Green,9,58,3,20,3,15,3,23,6,2,3,1,0,0,7,2012
Pittsburgh,Cincinnati,871,10/21/2012,Clete Blakeman,5,50,1,10,0,0,4,40,0,0,0,0,0,1,7,2012
Cincinnati,Pittsburgh,871,10/21/2012,Clete Blakeman,2,20,1,10,0,0,1,10,0,0,0,0,1,1,7,2012
Chicago,Detroit,872,10/22/2012,Al Riveron,9,49,5,33,1,1,3,15,3,3,0,0,0,1,7,2012
Detroit,Chicago,872,10/22/2012,Al Riveron,5,47,1,5,3,37,1,5,2,1,0,1,0,1,7,2012
Tampa Bay,Minnesota,873,10/25/2012,Ron Winter,4,49,1,5,1,15,2,29,1,1,0,0,1,1,8,2012
Minnesota,Tampa Bay,873,10/25/2012,Ron Winter,5,32,2,10,1,5,2,17,3,2,0,1,0,1,8,2012
Jacksonville,Green Bay,874,10/28/2012,Carl Cheffers,7,77,1,10,6,67,0,0,0,0,0,0,0,0,8,2012
Green Bay,Jacksonville,874,10/28/2012,Carl Cheffers,5,33,0,0,4,28,1,5,3,0,2,1,0,0,8,2012
N.Y. Jets,Miami,875,10/28/2012,Walt Anderson,5,45,1,5,3,35,1,5,3,1,1,1,0,0,8,2012
Miami,N.Y. Jets,875,10/28/2012,Walt Anderson,4,31,2,21,2,10,0,0,1,1,0,0,1,0,8,2012
San Diego,Cleveland,876,10/28/2012,Jerome Boger,3,15,1,5,2,10,0,0,2,1,1,0,0,0,8,2012
Cleveland,San Diego,876,10/28/2012,Jerome Boger,4,35,2,15,0,0,2,20,1,1,0,0,0,0,8,2012
Tennessee,Indianapolis,877,10/28/2012,Al Riveron,8,65,5,40,3,25,0,0,3,2,1,0,0,0,8,2012
Indianapolis,Tennessee,877,10/28/2012,Al Riveron,5,45,3,35,2,10,0,0,2,1,1,0,2,0,8,2012
New England,St. Louis,878,10/28/2012,Walt Coleman,8,42,3,17,4,20,1,5,5,2,3,0,1,0,8,2012
St. Louis,New England,878,10/28/2012,Walt Coleman,12,102,6,42,4,40,2,20,2,2,0,0,0,0,8,2012
Atlanta,Philadelphia,879,10/28/2012,Gene Steratore,6,40,3,15,2,20,1,5,4,2,1,1,1,1,8,2012
Philadelphia,Atlanta,879,10/28/2012,Gene Steratore,6,57,1,10,5,47,0,0,1,0,1,0,2,1,8,2012
Carolina,Chicago,880,10/28/2012,Ed Hochuli,3,21,1,10,2,11,0,0,0,0,0,0,2,0,8,2012
Chicago,Carolina,880,10/28/2012,Ed Hochuli,5,40,1,5,4,35,0,0,2,1,1,0,1,0,8,2012
Seattle,Detroit,881,10/28/2012,John Parry,2,10,1,5,0,0,1,5,2,1,0,1,2,0,8,2012
Detroit,Seattle,881,10/28/2012,John Parry,5,61,1,5,3,51,1,5,3,1,1,1,2,0,8,2012
Washington,Pittsburgh,882,10/28/2012,Pete Morelli,7,55,3,15,3,35,1,5,4,3,1,0,1,1,8,2012
Pittsburgh,Washington,882,10/28/2012,Pete Morelli,3,20,0,0,2,10,1,10,1,0,1,0,1,1,8,2012
Kansas City,Oakland,883,10/28/2012,Bill Vinovich,5,40,2,20,1,5,2,15,1,0,0,1,0,1,8,2012
Oakland,Kansas City,883,10/28/2012,Bill Vinovich,2,20,1,10,1,10,0,0,0,0,0,0,0,1,8,2012
N.Y. Giants,Dallas,884,10/28/2012,Scott Green,5,45,1,10,4,35,0,0,1,0,1,0,2,0,8,2012
Dallas,N.Y. Giants,884,10/28/2012,Scott Green,3,10,0,0,2,10,1,0,2,0,2,0,1,0,8,2012
Denver,New Orleans,885,10/28/2012,Mike Carey,5,34,2,20,1,5,2,9,2,0,1,1,0,1,8,2012
New Orleans,Denver,885,10/28/2012,Mike Carey,3,15,1,5,2,10,0,0,1,1,0,0,2,1,8,2012
Arizona,San Francisco,886,10/29/2012,Bill Leavy,7,51,4,30,1,7,2,14,2,2,0,0,0,0,8,2012
San Francisco,Arizona,886,10/29/2012,Bill Leavy,10,80,5,40,3,15,2,25,6,3,3,0,1,0,8,2012
San Diego,Kansas City,887,11/1/2012,Al Riveron,8,54,5,29,2,20,1,5,6,4,1,1,0,0,9,2012
Kansas City,San Diego,887,11/1/2012,Al Riveron,5,37,2,9,1,5,2,23,3,2,1,0,1,0,9,2012
Carolina,Washington,888,11/4/2012,Carl Cheffers,7,60,2,17,4,38,1,5,3,1,1,1,1,0,9,2012
Washington,Carolina,888,11/4/2012,Carl Cheffers,13,97,8,60,4,32,1,5,4,3,1,0,1,0,9,2012
Green Bay,Arizona,889,11/4/2012,Walt Coleman,1,5,1,5,0,0,0,0,1,1,0,0,0,0,9,2012
Arizona,Green Bay,889,11/4/2012,Walt Coleman,8,57,3,22,4,30,1,5,6,2,3,1,0,0,9,2012
Jacksonville,Detroit,890,11/4/2012,Gene Steratore,3,40,1,5,2,35,0,0,1,1,0,0,2,0,9,2012
Detroit,Jacksonville,890,11/4/2012,Gene Steratore,5,42,2,20,2,17,1,5,1,0,0,1,1,0,9,2012
Chicago,Tennessee,891,11/4/2012,Terry McAulay,5,37,4,28,0,0,1,9,1,1,0,0,0,0,9,2012
Tennessee,Chicago,891,11/4/2012,Terry McAulay,9,68,3,12,2,25,4,31,3,2,0,1,2,0,9,2012
Denver,Cincinnati,892,11/4/2012,Scott Green,5,29,2,14,2,10,1,5,1,1,0,0,0,0,9,2012
Cincinnati,Denver,892,11/4/2012,Scott Green,8,83,4,35,1,29,3,19,2,1,0,1,1,0,9,2012
Cleveland,Baltimore,893,11/4/2012,Jeff Triplette,4,31,3,15,1,16,0,0,3,3,0,0,3,1,9,2012
Baltimore,Cleveland,893,11/4/2012,Jeff Triplette,9,82,4,35,3,27,2,20,2,2,0,0,0,1,9,2012
Houston,Buffalo,894,11/4/2012,Bill Vinovich,7,42,5,32,1,5,1,5,5,3,1,1,1,0,9,2012
Buffalo,Houston,894,11/4/2012,Bill Vinovich,3,15,2,10,1,5,0,0,3,2,1,0,0,0,9,2012
Indianapolis,Miami,895,11/4/2012,Tony Corrente,11,91,4,35,4,30,3,26,3,0,2,1,1,0,9,2012
Miami,Indianapolis,895,11/4/2012,Tony Corrente,8,79,6,37,1,32,1,10,5,5,0,0,3,0,9,2012
Seattle,Minnesota,896,11/4/2012,Jerome Boger,4,49,2,10,2,39,0,0,2,2,0,0,0,0,9,2012
Minnesota,Seattle,896,11/4/2012,Jerome Boger,6,33,0,0,5,23,1,10,2,0,2,0,1,0,9,2012
Tampa Bay,Oakland,897,11/4/2012,Walt Anderson,14,116,6,45,6,47,2,24,8,4,4,0,2,0,9,2012
Oakland,Tampa Bay,897,11/4/2012,Walt Anderson,9,80,5,40,4,40,0,0,4,2,2,0,0,0,9,2012
N.Y. Giants,Pittsburgh,898,11/4/2012,Bill Leavy,7,40,3,15,3,15,1,10,5,3,2,0,0,0,9,2012
Pittsburgh,N.Y. Giants,898,11/4/2012,Bill Leavy,6,119,0,0,3,88,3,31,0,0,0,0,0,0,9,2012
Dallas,Atlanta,899,11/4/2012,John Parry,7,50,2,20,3,15,2,15,1,0,1,0,2,0,9,2012
Atlanta,Dallas,899,11/4/2012,John Parry,2,15,1,10,1,5,0,0,0,0,0,0,1,0,9,2012
New Orleans,Philadelphia,900,11/5/2012,Clete Blakeman,4,35,2,15,2,20,0,0,2,1,1,0,0,0,9,2012
Philadelphia,New Orleans,900,11/5/2012,Clete Blakeman,7,58,5,50,1,5,1,3,1,1,0,0,1,0,9,2012
Indianapolis,Jacksonville,901,11/8/2012,Terry McAulay,6,40,0,0,6,40,0,0,3,0,3,0,2,0,10,2012
Jacksonville,Indianapolis,901,11/8/2012,Terry McAulay,10,115,5,50,3,35,2,30,2,2,0,0,1,0,10,2012
Carolina,Denver,902,11/11/2012,Al Riveron,7,45,4,25,1,5,2,15,2,1,0,1,1,0,10,2012
Denver,Carolina,902,11/11/2012,Al Riveron,7,60,2,15,5,45,0,0,1,0,1,0,0,0,10,2012
Tampa Bay,San Diego,903,11/11/2012,Bill Vinovich,1,5,0,0,1,5,0,0,0,0,0,0,0,0,10,2012
San Diego,Tampa Bay,903,11/11/2012,Bill Vinovich,1,5,0,0,0,0,1,5,1,0,0,1,0,0,10,2012
Tennessee,Miami,904,11/11/2012,Walt Anderson,4,39,3,20,1,19,0,0,2,2,0,0,0,0,10,2012
Miami,Tennessee,904,11/11/2012,Walt Anderson,7,67,3,35,0,0,4,32,0,0,0,0,2,0,10,2012
Buffalo,New England,905,11/11/2012,Bill Leavy,14,148,7,48,5,79,2,21,4,4,0,0,0,0,10,2012
New England,Buffalo,905,11/11/2012,Bill Leavy,7,73,1,5,6,68,0,0,3,1,2,0,1,0,10,2012
Oakland,Baltimore,906,11/11/2012,Ron Winter,10,105,4,30,4,50,2,25,3,2,1,0,2,0,10,2012
Baltimore,Oakland,906,11/11/2012,Ron Winter,4,41,2,16,0,0,2,25,0,0,0,0,0,0,10,2012
N.Y. Giants,Cincinnati,907,11/11/2012,Mike Carey,1,5,0,0,0,0,1,5,0,0,0,0,0,0,10,2012
Cincinnati,N.Y. Giants,907,11/11/2012,Mike Carey,5,40,2,15,3,25,0,0,1,1,0,0,0,0,10,2012
Atlanta,New Orleans,908,11/11/2012,Tony Corrente,6,53,2,15,1,15,3,23,2,1,0,1,0,0,10,2012
New Orleans,Atlanta,908,11/11/2012,Tony Corrente,5,35,3,25,2,10,0,0,2,2,0,0,1,0,10,2012
Detroit,Minnesota,909,11/11/2012,Pete Morelli,6,57,3,30,2,20,1,7,2,1,1,0,0,0,10,2012
Minnesota,Detroit,909,11/11/2012,Pete Morelli,7,47,4,25,3,22,0,0,4,3,1,0,0,0,10,2012
Seattle,N.Y. Jets,910,11/11/2012,Ed Hochuli,7,45,4,30,2,10,1,5,3,2,0,1,1,0,10,2012
N.Y. Jets,Seattle,910,11/11/2012,Ed Hochuli,6,35,3,15,2,15,1,5,4,3,0,1,2,0,10,2012
Dallas,Philadelphia,911,11/11/2012,Walt Coleman,13,75,2,10,10,60,1,5,9,2,6,1,0,0,10,2012
Philadelphia,Dallas,911,11/11/2012,Walt Coleman,6,50,5,45,1,5,0,0,1,1,0,0,1,0,10,2012
St. Louis,San Francisco,912,11/11/2012,Clete Blakeman,13,85,9,55,1,5,3,25,9,7,1,1,1,0,10,2012
San Francisco,St. Louis,912,11/11/2012,Clete Blakeman,7,66,2,15,4,41,1,10,1,1,0,0,1,0,10,2012
Houston,Chicago,913,11/11/2012,Gene Steratore,3,35,1,10,1,15,1,10,0,0,0,0,0,1,10,2012
Chicago,Houston,913,11/11/2012,Gene Steratore,5,49,3,24,1,15,1,10,1,1,0,0,0,1,10,2012
Pittsburgh,Kansas City,914,11/12/2012,Carl Cheffers,2,19,2,19,0,0,0,0,0,0,0,0,0,0,10,2012
Kansas City,Pittsburgh,914,11/12/2012,Carl Cheffers,6,76,3,25,3,51,0,0,1,1,0,0,2,0,10,2012
Buffalo,Miami,915,11/15/2012,Jeff Triplette,11,100,2,15,7,65,2,20,6,1,4,1,0,0,11,2012
Miami,Buffalo,915,11/15/2012,Jeff Triplette,6,69,1,10,5,59,0,0,0,0,0,0,0,0,11,2012
Washington,Philadelphia,916,11/18/2012,Terry McAulay,13,80,7,40,4,30,2,10,10,6,2,2,0,0,11,2012
Philadelphia,Washington,916,11/18/2012,Terry McAulay,9,70,7,50,1,15,1,5,5,4,0,1,3,0,11,2012
Green Bay,Detroit,917,11/18/2012,Ron Winter,9,80,3,25,4,40,2,15,3,1,1,1,1,1,11,2012
Detroit,Green Bay,917,11/18/2012,Ron Winter,7,50,4,35,3,15,0,0,4,2,2,0,1,0,11,2012
Arizona,Atlanta,918,11/18/2012,Bill Vinovich,5,43,1,10,1,15,3,18,0,0,0,0,0,0,11,2012
Atlanta,Arizona,918,11/18/2012,Bill Vinovich,5,35,3,25,1,5,1,5,3,2,1,0,1,0,11,2012
Carolina,Tampa Bay,919,11/18/2012,Bill Leavy,11,91,6,45,4,36,1,10,4,3,1,0,1,0,11,2012
Tampa Bay,Carolina,919,11/18/2012,Bill Leavy,6,50,4,35,2,15,0,0,3,2,1,0,0,0,11,2012
Dallas,Cleveland,920,11/18/2012,Ed Hochuli,9,92,5,42,2,30,2,20,2,1,0,1,0,0,11,2012
Cleveland,Dallas,920,11/18/2012,Ed Hochuli,12,129,0,0,10,112,2,17,0,0,0,0,0,0,11,2012
St. Louis,N.Y. Jets,921,11/18/2012,Jerome Boger,5,30,2,10,0,0,3,20,3,2,0,1,1,0,11,2012
N.Y. Jets,St. Louis,921,11/18/2012,Jerome Boger,3,20,2,15,1,5,0,0,2,1,1,0,0,1,11,2012
New England,Indianapolis,922,11/18/2012,John Parry,4,70,1,10,3,60,0,0,0,0,0,0,3,0,11,2012
Indianapolis,New England,922,11/18/2012,John Parry,1,5,0,0,0,0,1,5,1,0,0,1,1,0,11,2012
Jacksonville,Houston,923,11/18/2012,Clete Blakeman,6,54,2,10,3,39,1,5,2,2,0,0,1,0,11,2012
Houston,Jacksonville,923,11/18/2012,Clete Blakeman,2,20,1,5,1,15,0,0,1,1,0,0,1,0,11,2012
Cincinnati,Kansas City,924,11/18/2012,Gene Steratore,9,54,4,30,1,5,4,19,4,2,0,2,1,0,11,2012
Kansas City,Cincinnati,924,11/18/2012,Gene Steratore,5,30,1,5,2,15,2,10,1,1,0,0,0,0,11,2012
Oakland,New Orleans,925,11/18/2012,Pete Morelli,4,40,3,30,0,0,1,10,0,0,0,0,0,0,11,2012
New Orleans,Oakland,925,11/18/2012,Pete Morelli,7,74,2,15,2,29,3,30,2,1,0,1,0,0,11,2012
San Diego,Denver,926,11/18/2012,Carl Cheffers,10,65,4,25,4,20,2,20,6,3,3,0,0,0,11,2012
Denver,San Diego,926,11/18/2012,Carl Cheffers,4,30,2,10,1,5,1,15,2,2,0,0,0,0,11,2012
Baltimore,Pittsburgh,927,11/18/2012,Walt Anderson,4,68,2,15,2,53,0,0,1,1,0,0,0,0,11,2012
Pittsburgh,Baltimore,927,11/18/2012,Walt Anderson,6,43,3,23,3,20,0,0,3,1,2,0,1,0,11,2012
Chicago,San Francisco,928,11/19/2012,Tony Corrente,6,55,2,20,3,25,1,10,1,0,1,0,0,0,11,2012
San Francisco,Chicago,928,11/19/2012,Tony Corrente,5,50,0,0,1,10,4,40,1,0,0,1,0,0,11,2012
Houston,Detroit,929,11/22/2012,Walt Coleman,8,65,3,15,2,10,3,40,5,3,2,0,0,0,12,2012
Detroit,Houston,929,11/22/2012,Walt Coleman,7,70,3,25,2,20,2,25,1,0,1,0,0,0,12,2012
Washington,Dallas,930,11/22/2012,Bill Leavy,5,41,3,22,1,14,1,5,3,2,0,1,1,0,12,2012
Dallas,Washington,930,11/22/2012,Bill Leavy,7,45,5,25,2,20,0,0,5,5,0,0,1,0,12,2012
New England,N.Y. Jets,931,11/22/2012,Mike Carey,8,36,3,19,5,17,0,0,2,0,2,0,0,0,12,2012
N.Y. Jets,New England,931,11/22/2012,Mike Carey,5,35,1,5,3,20,1,10,3,1,2,0,0,0,12,2012
Cincinnati,Oakland,932,11/25/2012,Al Riveron,3,25,2,15,0,0,1,10,1,1,0,0,0,1,12,2012
Oakland,Cincinnati,932,11/25/2012,Al Riveron,3,25,3,25,0,0,0,0,2,2,0,0,0,0,12,2012
Pittsburgh,Cleveland,933,11/25/2012,Ron Winter,9,68,7,54,1,5,1,9,2,2,0,0,0,0,12,2012
Cleveland,Pittsburgh,933,11/25/2012,Ron Winter,10,90,6,45,3,35,1,10,3,2,1,0,1,0,12,2012
Indianapolis,Buffalo,934,11/25/2012,Ed Hochuli,6,37,2,10,2,10,2,17,2,1,1,0,1,1,12,2012
Buffalo,Indianapolis,934,11/25/2012,Ed Hochuli,4,46,0,0,3,36,1,10,1,0,1,0,0,0,12,2012
Tennessee,Jacksonville,935,11/25/2012,Walt Anderson,6,42,2,8,3,25,1,9,3,2,1,0,1,0,12,2012
Jacksonville,Tennessee,935,11/25/2012,Walt Anderson,5,30,2,15,2,10,1,5,2,1,0,1,0,0,12,2012
Denver,Kansas City,936,11/25/2012,Jerome Boger,4,35,1,10,3,25,0,0,2,0,2,0,0,0,12,2012
Kansas City,Denver,936,11/25/2012,Jerome Boger,7,50,6,45,1,5,0,0,4,4,0,0,2,0,12,2012
Minnesota,Chicago,937,11/25/2012,Scott Green,3,44,0,0,3,44,0,0,0,0,0,0,0,0,12,2012
Chicago,Minnesota,937,11/25/2012,Scott Green,5,55,2,20,3,35,0,0,2,1,1,0,0,0,12,2012
Atlanta,Tampa Bay,938,11/25/2012,Jeff Triplette,2,15,2,15,0,0,0,0,1,1,0,0,1,0,12,2012
Tampa Bay,Atlanta,938,11/25/2012,Jeff Triplette,5,24,3,17,1,2,1,5,2,1,0,1,1,0,12,2012
Seattle,Miami,939,11/25/2012,Clete Blakeman,10,59,4,25,4,24,2,10,6,3,2,1,0,0,12,2012
Miami,Seattle,939,11/25/2012,Clete Blakeman,2,15,2,15,0,0,0,0,1,1,0,0,1,0,12,2012
San Diego,Baltimore,940,11/25/2012,Gene Steratore,5,37,3,21,2,16,0,0,3,2,1,0,1,0,12,2012
Baltimore,San Diego,940,11/25/2012,Gene Steratore,6,60,3,30,2,20,1,10,2,1,1,0,1,0,12,2012
San Francisco,New Orleans,941,11/25/2012,John Parry,10,68,7,55,3,13,0,0,4,3,1,0,2,0,12,2012
New Orleans,San Francisco,941,11/25/2012,John Parry,4,53,2,30,1,12,1,11,0,0,0,0,0,0,12,2012
Arizona,St. Louis,942,11/25/2012,Tony Corrente,7,56,2,25,4,26,1,5,3,0,3,0,1,0,12,2012
St. Louis,Arizona,942,11/25/2012,Tony Corrente,10,84,4,30,4,39,2,15,5,2,2,1,2,0,12,2012
Green Bay,N.Y. Giants,943,11/25/2012,Terry McAulay,7,49,3,25,3,14,1,10,1,1,0,0,2,0,12,2012
N.Y. Giants,Green Bay,943,11/25/2012,Terry McAulay,4,24,2,15,2,9,0,0,2,1,1,0,1,0,12,2012
Carolina,Philadelphia,944,11/26/2012,Pete Morelli,6,101,1,10,3,71,2,20,1,0,1,0,1,0,12,2012
Philadelphia,Carolina,944,11/26/2012,Pete Morelli,5,30,1,5,3,15,1,10,3,1,2,0,3,0,12,2012
New Orleans,Atlanta,945,11/29/2012,Scott Green,5,30,4,25,0,0,1,5,3,3,0,0,0,0,13,2012
Atlanta,New Orleans,945,11/29/2012,Scott Green,5,25,2,15,3,10,0,0,3,1,2,0,0,0,13,2012
Seattle,Chicago,946,12/2/2012,Mike Carey,8,55,3,20,4,30,1,5,3,2,1,0,0,0,13,2012
Chicago,Seattle,946,12/2/2012,Mike Carey,5,45,3,20,1,15,1,10,2,2,0,0,1,0,13,2012
