Team,Team_ID,Name,Pos,Count,Yards,Declined,Offsetting,Pre-Snap,Penalties,Week,Year
Buffalo,4,D.Bell,T,3,15,1,0,3,"Illegal Formation (2), False Start (1), Offensive Holding (1)",1,2009
Tennessee,34,D.Stewart,T,3,13,0,0,3,"Illegal Formation (2), False Start (1)",1,2009
Pittsburgh,28,T.Polamalu,SS,2,30,0,1,0,"Unnecessary Roughness (1), Defensive Pass Interference (1), Face Mask (15 Yards) (1)",1,2009
St. Louis,32,R.Incognito,C,3,35,0,0,1,"Unnecessary Roughness (2), False Start (1)",1,2009
Oakland,26,C.Green,T,3,20,0,0,2,"False Start (2), Offensive Holding (1)",1,2009
Baltimore,3,J.Flacco,QB,1,5,0,1,1,"Intentional Grounding (1), Delay of Game (1)",1,2009
Cincinnati,7,C.Johnson,WR,2,17,0,0,0,"Offensive Pass Interference (1), Offensive Holding (1)",1,2009
Cleveland,8,B.Edwards,WR,2,15,0,0,1,"False Start (1), Illegal Block Above the Waist (1)",1,2009
Arizona,1,A.Wilson,SS,2,20,0,0,1,"Unnecessary Roughness (1), Defensive Offside (1)",1,2009
Atlanta,2,J.Abraham,OLB,2,10,0,0,2,"Defensive Offside (1), Defensive Delay of Game (1)",1,2009
New England,24,V.Wilfork,NT,2,20,0,0,1,"Roughing the Passer (1), Encroachment (1)",1,2009
N.Y. Jets,23,D.Ferguson,T,2,20,0,0,1,"Unnecessary Roughness (1), Illegal Motion (1)",1,2009
N.Y. Jets,23,M.Sanchez,QB,2,20,0,0,1,"False Start (1), Low Block (1)",1,2009
San Diego,29,P.Rivers,QB,2,20,0,0,1,"Delay of Game (1), Taunting (1)",1,2009
Arizona,1,D.Dockett,DT,2,9,0,0,2,Defensive Offside (2),1,2009
New England,24,D.Koppen,C,2,10,0,0,2,False Start (2),1,2009
New Orleans,25,D.Sharper,FS,1,1,1,0,0,"Personal Foul (1), Defensive Holding (1)",1,2009
Philadelphia,27,S.Andrews,G,2,10,0,0,2,"False Start (1), Illegal Formation (1)",1,2009
Denver,10,B.Hamilton,G,2,15,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
Houston,13,C.Thompson,LB,2,20,0,0,0,"Unnecessary Roughness (1), Offensive Holding (1)",1,2009
Arizona,1,M.Gandy,T,2,15,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
Seattle,31,D.Tapp,DE,2,10,0,0,2,Defensive Offside (2),1,2009
Buffalo,4,S.Nelson,TE,2,16,0,0,1,"False Start (1), Offensive Holding (1)",1,2009
Philadelphia,27,J.Peters,T,2,10,0,0,2,False Start (2),1,2009
Atlanta,2,T.Clabo,T,0,0,0,1,0,Offensive Holding (1),1,2009
Cleveland,8,J.St. Clair,T,1,5,0,0,1,False Start (1),1,2009
Atlanta,2,R.White,WR,1,10,0,0,0,Offensive Holding (1),1,2009
Denver,10,D.Graham,TE,1,5,0,0,1,False Start (1),1,2009
Baltimore,3,J.Johnson,LB,1,15,0,0,0,Roughing the Passer (1),1,2009
Tennessee,34,N.Washington,WR,0,0,0,1,1,Illegal Formation (1),1,2009
Miami,20,T.McDaniel,DT,0,0,0,1,0,Illegal Use of Hands (1),1,2009
Kansas City,16,R.Colclough,DB,0,0,0,1,0,Illegal Contact (1),1,2009
Cincinnati,7,B.Williams,G,0,0,1,0,0,Ineligible Downfield Pass (1),1,2009
Minnesota,21,C.Griffin,CB,1,28,0,0,0,Defensive Pass Interference (1),1,2009
Washington,35,S.Moss,WR,0,0,0,1,0,Personal Foul (1),1,2009
N.Y. Giants,22,C.Webster,CB,0,0,0,1,0,Personal Foul (1),1,2009
Indianapolis,14,P.Garcon,WR,1,5,0,0,1,False Start (1),1,2009
Cleveland,8,B.McDonald,DB,1,16,0,0,0,Defensive Pass Interference (1),1,2009
Kansas City,16,T.Tyler,DT,1,5,0,0,0,Illegal Use of Hands (1),1,2009
Chicago,6,A.Brown,DE,1,15,0,0,0,Unnecessary Roughness (1),1,2009
Denver,10,K.Moreno,RB,0,0,1,0,0,Personal Foul (1),1,2009
Washington,35,L.Landry,FS,1,12,0,0,0,Personal Foul (1),1,2009
Washington,35,A.Haynesworth,DT,1,5,0,0,1,Defensive Offside (1),1,2009
San Diego,29,Q.Jammer,CB,1,5,0,0,0,Illegal Contact (1),1,2009
Houston,13,Du.Robinson,CB,1,5,0,0,0,Defensive Holding (1),1,2009
Baltimore,3,D.Mason,WR,1,10,0,0,0,Offensive Holding (1),1,2009
Buffalo,4,D.Whitner,SS,1,15,0,0,0,Unnecessary Roughness (1),1,2009
Dallas,9,F.Adams,T,1,15,0,0,0,Unnecessary Roughness (1),1,2009
Washington,35,J.Campbell,QB,0,0,1,0,0,Illegal Forward Pass (1),1,2009
Minnesota,21,B.Favre,QB,1,5,0,0,1,Delay of Game (1),1,2009
San Diego,29,K.Osgood,WR,1,5,0,0,1,False Start (1),1,2009
Green Bay,12,C.Matthews,OLB,1,10,0,0,0,Offensive Holding (1),1,2009
Indianapolis,14,A.Bethea,SS,1,7,0,0,0,Face Mask (15 Yards) (1),1,2009
Houston,13,E.Winston,T,1,2,0,0,1,False Start (1),1,2009
Tennessee,34,G.McRath,LB,1,10,0,0,0,Offensive Holding (1),1,2009
Tampa Bay,33,A.Talib,CB,0,0,1,0,0,Illegal Use of Hands (1),1,2009
N.Y. Giants,22,E.Manning,QB,1,5,0,0,1,Delay of Game (1),1,2009
Carolina,5,J.Otah,T,1,5,0,0,1,False Start (1),1,2009
San Francisco,30,J.Smith,DE,1,5,0,0,0,Defensive Holding (1),1,2009
Pittsburgh,28,B.Roethlisberger,QB,1,5,0,0,1,Delay of Game (1),1,2009
Cleveland,8,J.Thomas,T,1,5,0,0,1,False Start (1),1,2009
Cleveland,8,K.Maiava,OLB,1,10,0,0,0,Offensive Holding (1),1,2009
Cincinnati,7,K.Cook,C,1,5,0,0,0,Ineligible Downfield Pass (1),1,2009
New England,24,M.Light,T,1,10,0,0,0,Tripping (1),1,2009
Kansas City,16,B.Albert,T,1,5,0,0,1,False Start (1),1,2009
N.Y. Jets,23,J.Westerman,LB,1,10,0,0,0,Offensive Holding (1),1,2009
N.Y. Jets,23,W.Hunter,T,0,0,1,0,1,Illegal Motion (1),1,2009
Jacksonville,15,E.Monroe,T,1,4,0,0,1,False Start (1),1,2009
N.Y. Jets,23,B.Moore,G,1,5,0,0,1,False Start (1),1,2009
Green Bay,12,C.Clifton,T,1,5,0,0,1,False Start (1),1,2009
Green Bay,12,J.Sitton,G,1,10,0,0,0,Offensive Holding (1),1,2009
New Orleans,25,C.Nicks,G,1,10,0,0,0,Offensive Holding (1),1,2009
Miami,20,J.Long,T,0,0,1,0,0,Offensive Holding (1),1,2009
Carolina,5,R.Kalil,C,1,5,0,0,1,False Start (1),1,2009
New Orleans,25,D.Thomas,TE,1,10,0,0,0,Offensive Holding (1),1,2009
Detroit,11,J.Backus,T,1,5,0,0,1,False Start (1),1,2009
Minnesota,21,K.Williams,DT,1,5,0,0,1,Encroachment (1),1,2009
San Francisco,30,P.Haralson,OLB,1,5,0,0,1,Defensive Offside (1),1,2009
San Diego,29,J.Clary,G,1,5,0,0,1,False Start (1),1,2009
St. Louis,32,J.Smith,T,1,5,0,0,1,False Start (1),1,2009
St. Louis,32,J.Bell,G,1,5,0,0,1,False Start (1),1,2009
Washington,35,D.Hall,SS,1,10,0,0,0,Offensive Holding (1),1,2009
Pittsburgh,28,M.Wallace,WR,1,5,0,0,1,Illegal Formation (1),1,2009
Detroit,11,D.Raiola,C,1,15,0,0,0,Personal Foul (1),1,2009
N.Y. Giants,22,C.Snee,G,1,10,0,0,0,Offensive Holding (1),1,2009
Indianapolis,14,D.Freeney,OLB,1,5,0,0,1,Neutral Zone Infraction (1),1,2009
Seattle,31,B.Obomanu,WR,1,10,0,0,0,Illegal Block Above the Waist (1),1,2009
Philadelphia,27,J.Parker,DE,1,15,0,0,0,Face Mask (15 Yards) (1),1,2009
San Francisco,30,D.Goldson,DB,1,10,0,0,0,Illegal Block Above the Waist (1),1,2009
San Diego,29,S.Phillips,OLB,1,5,0,0,0,Illegal Use of Hands (1),1,2009
Chicago,6,C.Williams,T,1,5,0,0,1,False Start (1),1,2009
Atlanta,2,J.Blalock,G,1,15,0,0,0,Personal Foul (1),1,2009
Detroit,11,L.Delmas,FS,1,15,0,0,0,Unsportsmanlike Conduct (1),1,2009
Arizona,1,L.Fitzgerald,WR,1,10,0,0,0,Offensive Pass Interference (1),1,2009
Houston,13,O.Daniels,TE,1,5,0,0,0,Offensive Holding (1),1,2009
Oakland,26,L.Murphy,WR,1,10,0,0,0,Offensive Pass Interference (1),1,2009
Pittsburgh,28,M.Starks,T,1,10,0,0,0,Offensive Holding (1),1,2009
Chicago,6,E.Bennett,WR,1,5,0,0,1,Offensive Offside (1),1,2009
Arizona,1,R.Johnson,FS,1,8,0,0,0,Low Block (1),1,2009
Miami,20,B.Hartline,WR,1,10,0,0,0,Offensive Pass Interference (1),1,2009
Philadelphia,27,D.Jackson,WR,1,15,0,0,0,Unsportsmanlike Conduct (1),1,2009
Denver,10,D.Bruton,SS,1,5,0,0,1,False Start (1),1,2009
Tampa Bay,33,S.Piscitelli,SS,1,5,0,0,0,Running Into the Kicker (1),1,2009
N.Y. Giants,22,M.Hedgecock,FB,1,5,0,0,1,False Start (1),1,2009
N.Y. Giants,22,B.Johnson,DB,1,10,0,0,0,Offensive Holding (1),1,2009
St. Louis,32,S.Jackson,RB,0,0,1,0,0,Unnecessary Roughness (1),1,2009
Arizona,1,S.Spach,TE,1,5,0,0,1,False Start (1),1,2009
Seattle,31,A.Curry,LB,1,5,0,0,1,Defensive Offside (1),1,2009
Dallas,9,G.Sensabaugh,FS,1,5,0,0,0,Illegal Contact (1),1,2009
Baltimore,3,C.Chester,C,1,10,0,0,0,Offensive Holding (1),1,2009
New Orleans,25,J.Stinchcomb,T,1,5,0,0,1,False Start (1),1,2009
Philadelphia,27,N.Cole,G,1,5,0,0,1,False Start (1),1,2009
Cincinnati,7,R.Geathers,DE,1,5,0,0,1,Defensive Offside (1),1,2009
Carolina,5,D.Rosario,TE,1,10,0,0,0,Offensive Holding (1),1,2009
Washington,35,C.Rogers,CB,1,5,0,0,0,Illegal Contact (1),1,2009
Dallas,9,M.Jenkins,CB,1,11,0,0,0,Defensive Pass Interference (1),1,2009
Jacksonville,15,S.Considine,DB,1,15,0,0,0,Personal Foul (1),1,2009
San Diego,29,B.Dombrowski,T,1,5,0,0,1,False Start (1),1,2009
Miami,20,V.Carey,G,1,10,0,0,0,Offensive Holding (1),1,2009
Denver,10,C.Bailey,CB,1,4,0,0,0,Illegal Blindside Block (1),1,2009
Carolina,5,J.King,TE,1,5,0,0,1,False Start (1),1,2009
Carolina,5,T.Brayton,DT,1,5,0,0,1,Defensive Offside (1),1,2009
Pittsburgh,28,H.Ward,WR,1,10,0,0,0,Offensive Holding (1),1,2009
Baltimore,3,T.Gooden,LB,1,3,0,0,0,Illegal Use of Hands (1),1,2009
Kansas City,16,D.Colquitt,P,1,5,0,0,1,Delay of Game (1),1,2009
Jacksonville,15,T.Knighton,DT,1,5,0,0,0,Defensive Holding (1),1,2009
N.Y. Jets,23,D.Harris,ILB,0,0,1,0,0,Illegal Contact (1),1,2009
New Orleans,25,J.Goodwin,C,1,5,0,0,1,False Start (1),1,2009
N.Y. Jets,23,B.Smith,WR,1,10,0,0,0,Offensive Holding (1),1,2009
Washington,35,A.Carter,DE,0,0,1,0,1,Defensive Offside (1),1,2009
Tennessee,34,K.Vanden Bosch,DE,1,5,0,0,1,Encroachment (1),1,2009
Miami,20,W.Allen,DB,1,2,0,0,0,Defensive Pass Interference (1),1,2009
Baltimore,3,D.Foxworth,DB,1,10,0,0,0,Illegal Use of Hands (1),1,2009
Baltimore,3,F.Washington,DB,1,8,0,0,0,Illegal Use of Hands (1),1,2009
Baltimore,3,J.Gaither,T,1,4,0,0,0,Offensive Holding (1),1,2009
Philadelphia,27,Q.Demps,DB,1,15,0,0,0,Fair Catch Interference (1),1,2009
Denver,10,C.Wiegmann,C,1,10,0,0,0,Offensive Holding (1),1,2009
Minnesota,21,J.Sullivan,C,0,0,1,0,0,Offensive Holding (1),1,2009
Cleveland,8,J.Davis,RB,1,5,0,0,1,False Start (1),1,2009
N.Y. Jets,23,A.Faneca,G,1,5,0,0,1,False Start (1),1,2009
Houston,13,D.Ryans,ILB,0,0,1,0,0,Taunting (1),1,2009
Houston,13,N.Ferguson,FS,1,5,0,0,0,Illegal Contact (1),1,2009
N.Y. Jets,23,M.Douglas,DT,1,5,0,0,0,Defensive Holding (1),1,2009
Detroit,11,D.White,DE,0,0,1,0,1,Defensive Offside (1),1,2009
New Orleans,25,J.Kyle,LS,1,5,0,0,0,Ineligible Downfield Kick (1),1,2009
Detroit,11,L.Cohen,DE,1,15,0,0,0,Roughing the Passer (1),1,2009
New Orleans,25,C.Grant,DE,1,0,0,0,0,Personal Foul (1),1,2009
Detroit,11,D.Loper,T,1,5,0,0,1,False Start (1),1,2009
Detroit,11,E.Sims,LB,1,5,0,0,0,Personal Foul (1),1,2009
Tampa Bay,33,M.Clayton,WR,1,5,0,0,1,Illegal Shift (1),1,2009
Tampa Bay,33,G.Adams,DE,1,5,0,0,1,Defensive Offside (1),1,2009
Dallas,9,P.Crayton,WR,1,10,0,0,0,Illegal Kick (1),1,2009
Arizona,1,A.Becht,TE,1,5,0,0,1,False Start (1),1,2009
Arizona,1,A.Highsmith,ILB,1,5,0,0,1,False Start (1),1,2009
Arizona,1,K.Warner,QB,1,5,0,0,1,Delay of Game (1),1,2009
St. Louis,32,D.Avery,WR,1,10,0,0,0,Offensive Holding (1),1,2009
St. Louis,32,R.McMichael,TE,1,5,0,0,1,False Start (1),1,2009
St. Louis,32,M.Bulger,QB,1,5,0,0,1,Delay of Game (1),1,2009
St. Louis,32,L.Little,DE,1,15,0,0,0,Unnecessary Roughness (1),1,2009
Green Bay,12,J.Spitz,C,1,10,0,0,0,Offensive Holding (1),1,2009
Green Bay,12,A.Harris,CB,1,5,0,0,0,Illegal Contact (1),1,2009
Buffalo,4,R.Denney,DE,1,5,0,0,0,Defensive Holding (1),1,2009
Buffalo,4,D.Schouman,TE,1,10,0,0,0,Illegal Blindside Block (1),1,2009
Buffalo,4,T.Owens,WR,1,10,0,0,0,Offensive Pass Interference (1),1,2009
New England,24,A.Thomas,OLB,1,15,0,0,0,Roughing the Passer (1),1,2009
San Diego,29,S.Merriman,DE,1,5,0,0,1,Defensive Offside (1),1,2009
Oakland,26,G.Warren,DT,1,5,0,0,1,Encroachment (1),1,2009
San Diego,29,S.Mruczkowski,G,1,10,0,0,0,Offensive Holding (1),1,2009
Miami,20,J.Taylor,OLB,1,5,0,0,1,Defensive Offside (1),1,2009
Tennessee,34,N.Harper,CB,1,14,2,0,0,Defensive Pass Interference (3),2,2009
New England,24,T.Brady,QB,3,15,0,0,3,Delay of Game (3),2,2009
Kansas City,16,B.Albert,T,3,20,0,0,2,"False Start (2), Offensive Holding (1)",2,2009
San Diego,29,P.Rivers,QB,3,14,0,0,3,Delay of Game (3),2,2009
Cincinnati,7,C.Crocker,DB,3,33,0,0,0,"Defensive Pass Interference (2), Defensive Holding (1)",2,2009
Minnesota,21,J.Kleinsasser,TE,2,15,0,0,1,"False Start (1), Offensive Holding (1)",2,2009
Philadelphia,27,C.Clemons,DE,1,11,1,0,0,"Personal Foul (1), Illegal Block Above the Waist (1)",2,2009
San Francisco,30,N.Clements,SS,1,18,1,0,0,"Defensive Pass Interference (1), Personal Foul (1)",2,2009
Minnesota,21,P.Loadholt,T,1,5,1,0,1,"False Start (1), Offensive Holding (1)",2,2009
Pittsburgh,28,I.Taylor,CB,2,17,0,0,0,"Personal Foul (1), Illegal Block Above the Waist (1)",2,2009
Arizona,1,L.Brown,T,2,10,0,0,1,"False Start (1), Illegal Touch Pass (1)",2,2009
Cincinnati,7,A.Whitworth,T,2,20,0,0,0,Offensive Holding (2),2,2009
Tennessee,34,J.Scott,G,2,15,0,0,1,"False Start (1), Offensive Holding (1)",2,2009
Tampa Bay,33,J.Trueblood,T,2,10,0,0,2,False Start (2),2,2009
Oakland,26,L.Murphy,WR,2,10,0,0,2,"False Start (1), Illegal Motion (1)",2,2009
Washington,35,D.Dockery,G,2,10,0,0,2,False Start (2),2,2009
N.Y. Jets,23,D.Woody,T,2,7,0,0,2,False Start (2),2,2009
Cincinnati,7,C.Palmer,QB,2,10,0,0,2,Delay of Game (2),2,2009
San Diego,29,B.Dombrowski,T,2,15,0,0,1,"False Start (1), Offensive Holding (1)",2,2009
Green Bay,12,J.Bush,CB,2,10,0,0,2,False Start (2),2,2009
Green Bay,12,A.Harris,CB,2,21,0,0,0,"Roughing the Passer (1), Illegal Use of Hands (1)",2,2009
St. Louis,32,A.Barron,T,2,20,0,0,0,Offensive Holding (2),2,2009
Cleveland,8,H.Poteat,FS,2,23,0,0,0,"Defensive Pass Interference (1), Defensive Holding (1)",2,2009
San Diego,29,L.English,DE,1,5,1,0,1,"Defensive Offside (1), Running Into the Kicker (1)",2,2009
Indianapolis,14,A.Johnson,DT,2,10,0,0,2,Defensive Offside (2),2,2009
Carolina,5,R.Marshall,CB,1,4,0,0,0,Defensive Pass Interference (1),2,2009
Cleveland,8,J.St. Clair,T,1,5,0,0,1,False Start (1),2,2009
Tennessee,34,D.Stewart,T,0,0,1,0,0,Offensive Holding (1),2,2009
New Orleans,25,W.Smith,DE,0,0,1,0,1,Defensive Offside (1),2,2009
Denver,10,D.Graham,TE,1,5,0,0,1,False Start (1),2,2009
Miami,20,T.McDaniel,DT,1,5,0,0,1,Encroachment (1),2,2009
Cincinnati,7,C.Johnson,WR,1,5,0,0,1,False Start (1),2,2009
Cincinnati,7,B.Williams,G,1,10,0,0,0,Offensive Holding (1),2,2009
Philadelphia,27,L.Weaver,FB,1,3,0,0,0,Illegal Block Above the Waist (1),2,2009
Tennessee,34,T.Brown,DT,0,0,1,0,1,Defensive Offside (1),2,2009
Houston,13,D.Anderson,WR,0,0,0,1,0,Personal Foul (1),2,2009
Tennessee,34,J.Jones,DE,0,0,0,1,0,Disqualification (1),2,2009
San Francisco,30,G.Coffee,RB,1,10,0,0,0,Illegal Block Above the Waist (1),2,2009
Pittsburgh,28,C.Kemoeatu,G,0,0,1,0,0,Offensive Holding (1),2,2009
Chicago,6,Z.Bowman,DB,1,10,0,0,0,Illegal Block Above the Waist (1),2,2009
N.Y. Giants,22,R.Seubert,G,1,10,0,0,0,Offensive Holding (1),2,2009
N.Y. Giants,22,D.Hagan,WR,0,0,1,0,0,Unnecessary Roughness (1),2,2009
Cleveland,8,S.Rogers,DT,1,15,0,0,0,Face Mask (15 Yards) (1),2,2009
Green Bay,12,D.Bishop,LB,1,10,0,0,0,Offensive Holding (1),2,2009
Kansas City,16,R.Niswanger,C,1,10,0,0,0,Offensive Holding (1),2,2009
Chicago,6,A.Brown,DE,1,5,0,0,1,Defensive Offside (1),2,2009
Tampa Bay,33,D.Penn,T,1,5,0,0,1,False Start (1),2,2009
Buffalo,4,J.Byrd,FS,1,15,0,0,0,Unsportsmanlike Conduct (1),2,2009
Jacksonville,15,V.Manuwai,G,1,5,0,0,1,False Start (1),2,2009
Philadelphia,27,S.Jones,FS,1,10,0,0,0,Offensive Holding (1),2,2009
Green Bay,12,S.Havner,TE,1,5,0,0,0,Ineligible Downfield Kick (1),2,2009
Atlanta,2,H.Dahl,G,1,15,0,0,0,Personal Foul (1),2,2009
Tampa Bay,33,G.Hayes,OLB,1,15,0,0,0,Face Mask (15 Yards) (1),2,2009
N.Y. Jets,23,E.Smith,FS,0,0,1,0,0,Illegal Contact (1),2,2009
Miami,20,E.Walden,OLB,1,5,0,0,0,Offside on Free Kick (1),2,2009
Philadelphia,27,T.Cole,LB,0,0,1,0,0,Defensive Holding (1),2,2009
Dallas,9,F.Adams,T,1,6,0,0,0,Tripping (1),2,2009
Philadelphia,27,J.Hanson,CB,1,5,0,0,1,Illegal Shift (1),2,2009
Washington,35,J.Campbell,QB,1,5,0,0,1,Delay of Game (1),2,2009
Tampa Bay,33,R.Barber,FS,1,5,0,0,1,Defensive Offside (1),2,2009
Kansas City,16,B.Wade,WR,1,10,0,0,0,Illegal Block Above the Waist (1),2,2009
Dallas,9,K.Hamlin,DB,1,5,0,0,1,Defensive Offside (1),2,2009
Arizona,1,D.Lutui,G,1,10,0,0,0,Offensive Holding (1),2,2009
New Orleans,25,J.Evans,G,1,5,0,0,1,False Start (1),2,2009
Green Bay,12,J.Kuhn,FB,1,10,0,0,0,Offensive Holding (1),2,2009
Houston,13,C.Barwin,OLB,0,0,1,0,1,Defensive Offside (1),2,2009
Tampa Bay,33,A.Talib,CB,1,15,0,0,0,Face Mask (15 Yards) (1),2,2009
Carolina,5,J.Otah,T,1,5,0,0,1,False Start (1),2,2009
Carolina,5,T.Davis,OLB,0,0,1,0,0,Defensive Pass Interference (1),2,2009
Arizona,1,C.Haggans,LB,1,18,0,0,0,Defensive Pass Interference (1),2,2009
San Francisco,30,V.Davis,TE,1,1,0,0,1,False Start (1),2,2009
Pittsburgh,28,W.Colon,G,1,5,0,0,1,False Start (1),2,2009
Oakland,26,C.Johnson,CB,1,5,0,0,0,Illegal Use of Hands (1),2,2009
Kansas City,16,B.Carr,CB,1,5,0,0,0,Illegal Use of Hands (1),2,2009
Tennessee,34,E.Amano,C,0,0,1,0,0,Ineligible Downfield Pass (1),2,2009
Baltimore,3,M.Oher,T,1,5,0,0,1,False Start (1),2,2009
Indianapolis,14,E.Foster,DT,0,0,1,0,1,Defensive Offside (1),2,2009
Green Bay,12,C.Clifton,T,1,5,0,0,1,False Start (1),2,2009
Chicago,6,J.Cutler,QB,1,10,0,0,0,Intentional Grounding (1),2,2009
Chicago,6,F.Omiyale,T,1,5,0,0,1,False Start (1),2,2009
San Diego,29,J.Hester,RB,1,15,0,0,0,Chop Block (1),2,2009
Carolina,5,S.Smith,WR,1,10,0,0,0,Offensive Pass Interference (1),2,2009
Jacksonville,15,E.Britton,T,1,5,0,0,1,False Start (1),2,2009
Houston,13,D.Brown,T,1,5,0,0,1,False Start (1),2,2009
Houston,13,C.Myers,C,1,5,0,0,1,False Start (1),2,2009
New Orleans,25,D.Thomas,TE,1,3,0,0,1,False Start (1),2,2009
Detroit,11,J.Backus,T,1,9,0,0,0,Offensive Holding (1),2,2009
Minnesota,21,K.Williams,DT,1,15,0,0,0,Unnecessary Roughness (1),2,2009
San Francisco,30,P.Haralson,OLB,1,5,0,0,1,Defensive Offside (1),2,2009
Seattle,31,M.Unger,C,1,10,0,0,0,Offensive Holding (1),2,2009
Tennessee,34,J.McCourty,CB,1,15,0,0,0,Interference with Opportunity to Catch (1),2,2009
Chicago,6,R.Garza,C,1,5,0,0,1,False Start (1),2,2009
Chicago,6,C.Tillman,DB,1,5,0,0,1,Defensive Offside (1),2,2009
Washington,35,W.Montgomery,C,0,0,1,0,0,Offensive Holding (1),2,2009
Tampa Bay,33,K.Winslow,TE,1,15,0,0,0,Face Mask (15 Yards) (1),2,2009
Indianapolis,14,D.Freeney,OLB,0,0,1,0,1,Defensive Offside (1),2,2009
Tampa Bay,33,D.Joseph,G,1,5,0,0,1,False Start (1),2,2009
Tennessee,34,M.Roos,T,1,0,0,0,1,False Start (1),2,2009
N.Y. Giants,22,O.Umenyiora,DE,1,5,0,0,1,Defensive Offside (1),2,2009
San Diego,29,S.Phillips,OLB,1,5,0,0,1,Defensive Offside (1),2,2009
Denver,10,E.Dumervil,OLB,1,15,0,0,0,Face Mask (15 Yards) (1),2,2009
N.Y. Giants,22,M.Boley,LB,1,15,0,0,0,Face Mask (15 Yards) (1),2,2009
Indianapolis,14,R.Mathis,OLB,1,5,0,0,1,Defensive Offside (1),2,2009
Washington,35,K.Golston,DE,1,5,0,0,0,Defensive Holding (1),2,2009
Carolina,5,J.Anderson,LB,1,6,0,0,0,Unnecessary Roughness (1),2,2009
Atlanta,2,J.Blalock,G,1,5,0,0,0,Ineligible Downfield Pass (1),2,2009
Detroit,11,G.Cherilus,T,1,11,0,0,0,Chop Block (1),2,2009
Buffalo,4,S.Johnson,DT,1,5,0,0,1,Defensive Offside (1),2,2009
Pittsburgh,28,J.Harrison,OLB,1,15,0,0,0,Roughing the Passer (1),2,2009
Dallas,9,T.Newman,DB,1,34,0,0,0,Defensive Pass Interference (1),2,2009
Pittsburgh,28,L.Timmons,ILB,1,5,0,0,0,Defensive Holding (1),2,2009
Cincinnati,7,B.Johnson,LB,1,7,0,0,0,Roughing the Passer (1),2,2009
New Orleans,25,T.Porter,DB,0,0,1,0,0,Running Into the Kicker (1),2,2009
Atlanta,2,K.Biermann,OLB,1,5,0,0,1,Defensive Offside (1),2,2009
New England,24,B.Green-Ellis,RB,1,10,0,0,0,Illegal Block Above the Waist (1),2,2009
Green Bay,12,T.Williams,CB,1,5,0,0,0,Illegal Contact (1),2,2009
Green Bay,12,J.Jones,WR,0,0,1,0,1,Illegal Formation (1),2,2009
Philadelphia,27,D.Jackson,WR,1,5,0,0,1,False Start (1),2,2009
Houston,13,B.Cushing,ILB,1,5,0,0,0,Defensive Holding (1),2,2009
Tennessee,34,D.Ball,DE,0,0,1,0,1,Defensive Offside (1),2,2009
Arizona,1,S.Spach,TE,1,10,0,0,0,Offensive Holding (1),2,2009
Atlanta,2,T.Gonzalez,TE,1,5,0,0,1,False Start (1),2,2009
Seattle,31,J.Carlson,TE,1,5,0,0,1,False Start (1),2,2009
Minnesota,21,J.Mitchell,DE,1,8,0,0,0,Personal Foul (1),2,2009
Miami,20,K.Langford,DE,1,5,0,0,1,Defensive 12 On-field (1),2,2009
Tennessee,34,K.Britt,WR,1,5,0,0,1,False Start (1),2,2009
Philadelphia,27,N.Cole,G,1,5,0,0,1,False Start (1),2,2009
Buffalo,4,D.Bell,T,0,0,1,0,0,Offensive Holding (1),2,2009
San Diego,29,K.Burnett,OLB,1,21,0,0,0,Defensive Pass Interference (1),2,2009
San Diego,29,L.Naanee,WR,1,5,0,0,0,Offside on Free Kick (1),2,2009
N.Y. Jets,23,D.Keller,TE,1,7,0,0,0,Offensive Holding (1),2,2009
Denver,10,J.Moss,DE,1,10,0,0,0,Offensive Holding (1),2,2009
St. Louis,32,D.Fells,TE,1,5,0,0,1,False Start (1),2,2009
New England,24,S.Neal,G,1,10,0,0,0,Offensive Holding (1),2,2009
N.Y. Jets,23,B.Scott,ILB,1,15,0,0,0,Personal Foul (1),2,2009
Cincinnati,7,D.Coats,TE,1,5,0,0,1,False Start (1),2,2009
Oakland,26,Z.Miller,TE,1,5,0,0,1,False Start (1),2,2009
Kansas City,16,W.Gilberry,DE,1,15,0,0,0,Personal Foul (1),2,2009
N.Y. Jets,23,D.Lowery,DB,1,10,0,0,0,Offensive Holding (1),2,2009
Arizona,1,G.Hayes,LB,1,5,0,0,1,Defensive Offside (1),2,2009
Tampa Bay,33,M.Stovall,WR,1,5,0,0,0,Illegal Touch Kick (1),2,2009
Tampa Bay,33,C.Williams,RB,0,0,1,0,0,Offensive Holding (1),2,2009
Baltimore,3,D.Foxworth,DB,1,12,0,0,0,Defensive Pass Interference (1),2,2009
Denver,10,C.Wiegmann,C,1,5,0,0,1,False Start (1),2,2009
Tampa Bay,33,M.Clayton,WR,1,10,0,0,0,Offensive Pass Interference (1),2,2009
Tampa Bay,33,G.Adams,DE,0,0,1,0,1,Defensive Offside (1),2,2009
St. Louis,32,R.Incognito,C,0,0,1,0,0,Offensive Holding (1),2,2009
St. Louis,32,M.Bulger,QB,1,5,0,0,1,Delay of Game (1),2,2009
Oakland,26,C.Green,T,1,5,0,0,1,False Start (1),2,2009
Oakland,26,G.Warren,DT,1,15,0,0,0,Face Mask (15 Yards) (1),2,2009
